Below are the answers for the following midterm:

 - University: University of California at Berkeley
 - Class: Engineering 7 (Introduction to Programming for Scientists and Engineers)
 - Semester: Spring 2016
 - Midterm Date: March 2nd 2016
 - Midterm Version: 321465

Question  Answer
1         C
2         A
3         D
4         D
5         E
6         B
7         B
8         E
9         D
10        A
11        B
12        D
13        D
14        D
15        B
16        C
17        C
18        D
19        A
20        B
21        B
22        B
23        C
24        C
25        B
